title,company,location,duration,post_date,deadline,field,url,page_number,description,match_probability_AI_engineering,match_probability_full_stack_development,match_probability_software_engineer,match_probability_software_developer,average_match_probability
FINANCE AND ACCOUNTING  INTERN,HOUSE OF CO.,"Antwerp, Belgium",6 months,"3 Feb, 2025","30 Apr, 2025","Business Studies and/or Management Science, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/finance-and-accounting-intern-3,15,"House of Co. is redefining urban living for the modern youth through innovative co-living spaces that emphasize community, networking, and professional growth. Our vision centers on creating community-oriented experiences that support young professionals in both their personal and career development. We are seeking a proactive and analytical Finance Intern to join our team. In this role, you will directly contribute to our project development, leveraging your financial expertise to support everything from financial modelling to marketing analysis. WHAT YOU WILL DO Financial Transactions & Bookkeeping Assist with processing rental payments, security deposits, and invoices Support daily financial transactions and ensure accurate reconciliations Work with the team to track expenses and assist in budget monitoring Maintain financial records in an organized and structured manner Financial Reporting & Compliance Help prepare monthly financial reports and cash flow statements Assist in maintaining proper documentation for audits and financial compliance Support the coordination with outsourced accounting for tax and regulatory reporting Identify discrepancies in financial data and support their resolution Process Automation & Efficiency Improvement Identify inefficiencies in financial procedures and propose automation solutions Support the transition from manual to digital accounting processes Assist in streamlining invoice collection and payment approval workflows Work closely with the purchasing team to align budget tracking with expenditures Cross-Department Coordination Collaborate with other teams to improve financial processes and ensure smooth operations Support communication between accounting, purchasing, and operations Provide input on strategies to reduce costs while maintaining efficiency WHAT WE ARE LOOKING FOR Strong analytical skills with the ability to interpret complex financial data and make informed recommendations. Attention to detail and capability to manage multiple tasks effectively. Excellent communication skills, both written and verbal. Problem-solving mindset with a proactive and adaptable approach. Proficiency in Microsoft Office, particularly Excel, for financial modeling and data analysis. Interest in real estate development and financing. QUALIFICATIONS Relevant experience in finance or accounting, including internships or previous employment. Advanced Excel skills and experience with financial modeling are a plus. Bachelor’s degree in Finance, Accounting, or a related field. Proficiency in English (B2/C1 level); knowledge of Dutch or other languages is a bonus.",0.27358663,0.14754021,0.26644754,0.2587711,0.23658636
Sales Intern,Photler,"Poznan, Poland",3 months,"1 Feb, 2025","30 Apr, 2025",Business Studies and/or Management Science,https://erasmusintern.org/traineeship/sales-intern-73,15,"· Sales projects · Innovative Business activities · LinkedIn campaigns What we offer: · Opportunity to gain real-life experience within international business markets · Various training regarding sales, no experience needed! · Practical usage of Sales and Communication skills · Possibility to develop and get promoted · Warm and friendly atmosphere · Flexible work · Freedom of work · Young environment – where you can express your thoughts and come up with innovative ideas to implement within the company · A recommendation by the company’s CEO",0.25479928,0.16320865,0.24493349,0.2789151,0.23546413
Finance & Investors management (FIM)- Internship,Janluca Andrei Maris,"Bacelona, Spain",6 months,"28 Feb, 2025","31 Mar, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Social Sciences",https://erasmusintern.org/traineeship/finance-investors-management-fim-internship-1,1,"Proceedit is a software development company specializing in business process automation. We simplify your work by transforming your business, managing its complexity, and facilitating collaboration with your different stakeholders. As a result, by applying our BPaaS business model, we agile your operations, control your processes, and maximize your margins without requiring any investment. Our Finance Unit is committed to managing various financing activities, including strategy financing, crowdfunding, grants management, and capital raising. We strive to build strong relationships with investors while ensuring the optimal use of financial resources at our disposal. Internship Details: As a Finance and Investors Management Intern at Program, you'll play an essential role within our Finance Unit, working on a range of functions, including strategy and communication, shareholder and stakeholder relations, grants and project funding, crowdfunding, business angels, family offices, and venture capital firms. Your responsibilities will include: Strategy and Communication: Assist in developing financial strategies and communicating them effectively to the team. Shareholders and Stakeholders: Build and maintain relationships with shareholders, stakeholders, and investors. Grants and Project Funding: Participate in grant and project funding initiatives to secure necessary resources. Crowdfunding and Business Angels: Collaborate on crowdfunding campaigns and engage with potential investors, including business angels. Family Offices and Venture Capital Firms: Connect with family offices and venture capital firms to explore investment opportunities. Qualifications: Pursuing or recently completed a degree in Finance, Business, or a related field. A strong interest in finance, investor relations, and financial management. Basic knowledge of financial principles and investment strategies. Excellent communication and interpersonal skills. Strong analytical and problem-solving abilities. A proactive approach to work and a keen eye for detail. What We Offer: A dynamic and collaborative work environment. Hands-on experience in financial management and investor relations. The opportunity to work on projects that have a real-world impact. Compatible with the participation as part of the Erasmus or a similar internship exchange program. Possibility to develop the final course degree project for your academic institution as part of the internship period. Compatible with the realization of your Master or PhD thesis. Academic Certificate and Professional Working Certificate. Recommendation Letter and LinkedIn Professional Recommendation.",0.24378364,0.2109261,0.25027198,0.23629886,0.23532014
"Digital Marketing, Content Creation & SEO Internship",CubiCasa,"Helsinki, Finland",5 months,"19 Feb, 2025","28 Mar, 2025","Art and Design, Business Studies and/or Management Science, Communication and Information Sciences",https://erasmusintern.org/traineeship/digital-marketing-content-creation-seo-internship-1,7,"EU Students enrolled in Bachelor's degree or Master's degree programs eligible for Erasmus internship Location: Helsinki or Oulu Duration: 3-12 months (Flexible) Hours: 30 hours per week Compensation: Erasmus grant needed, with potential for future employment About Us CubiCasa is a dynamic and innovative proptech company dedicated to delivering top-notch floor plans to real estate professionals across the world through the revolutionary floor plan app. Our team is passionate about AI and real estate, and we are looking for an enthusiastic SEO/Content Writer Intern to join our team and help us enhance our online presence. Job Overview As an SEO/Content Creator Intern, you will play a crucial role in creating engaging and SEO-optimized content that drives traffic, enhances user experience, and supports our marketing goals. This internship provides an excellent opportunity to gain hands-on experience in digital marketing, content creation, and SEO strategies. Key Responsibilities PR: Write catchy proposals for journalists to be published in major real estate outlets Off-page backlinking: Collaborate with SEO managers of other websites, find opportunities for link inclusion and mantain the database Content Creation: Write high-quality, engaging, and informative blog posts, articles, website content, social media posts, and other marketing materials. SEO Optimization: Conduct keyword research and use SEO best practices to optimize content for search engines. Editing and Proofreading: Review and edit content to ensure clarity, accuracy, and consistency. Content Strategy: Collaborate with the marketing team to develop content strategies that align with company goals. Analytics and Reporting: Monitor and analyze website traffic and content performance, providing insights and recommendations for improvement. Research: Stay up-to-date with industry trends, competitors, and SEO best practices to keep our content relevant and competitive. Qualifications Education: Currently pursuing or recently completed a degree in Marketing, Communications, English, Journalism, or a related field. Skills: Exceptional writing and editing skills in English. Strong understanding of SEO principles and best practices. Familiarity with content management systems (CMS) like WordPress. Basic knowledge of HTML and CSS is a plus. Proficiency in using SEO tools (e.g., Google Analytics, SEMrush, Ahrefs). Ability to conduct thorough research and synthesize information. Excellent attention to detail and organizational skills. Experience: Previous experience in content writing, blogging, or digital marketing is preferred but not required. Attributes: Creativity and a passion for storytelling. Ability to work independently and as part of a team. Strong communication and interpersonal skills. Eagerness to learn and adapt in a fast-paced environment. What We Offer Hands-On Experience: Gain practical experience in SEO and content writing in a professional setting. Mentorship: Receive guidance and feedback from experienced marketing professionals. Networking Opportunities: Connect with industry professionals and expand your professional network. Skill Development: Enhance your writing, SEO, and digital marketing skills. Potential for Future Employment: High-performing interns may be considered for full-time positions upon completion of the internship.",0.2590039,0.18086539,0.25386265,0.24752626,0.23531455
Marketers: People interested in SEO content writing and/or digital marketing in general. - Experience is not obligatory but it will be an advantage among other candidates.,Gifts Service,"Karlovy vary, Czech Republic",4 months,"1 Feb, 2023","15 May, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Education and/or Teacher Training",https://erasmusintern.org/traineeship/marketers-people-interested-seo-content-writing-andor-digital-marketing-general,63,"Copywriters - Content creators under SEO rules: People interested in SEO content writing and/or digital marketing in general. - Experience is not needed but it will be an advantage. or Translators:  Person who is able to translate from English or to English or Social media specialist: Creating content and maintaining on social media channels or Focused area marketing specialist:  Person who will be able to make local internet marketing focused on specific country or area. or Video content specialist:  Person who will be able to make interesting video content. or Presta specialist or database specialist:  Person who knows presta shop or is able to work with database or Programmer:  Person who will be able to create original scripts for internet marketing in connection with databases or Ux specialist:  Person who will be able to make changes in the way our web page is easy to use on WordPress platform. or WordPress specialist:  Person who will be able to make changes  in WordPress platform. or Marketers: People interested in SEO content writing and/or digital marketing in general. - Experience is not obligatory but it will be an advantage among other candidates. or Photographer: person who is able to take photos upload it on WordPress platform with description under seo rules What do we expect: Independent self-organised person Copywriting talent Responsibility and reliability At least C1 level of English, every other language will be an advantage YOU MUST have valid visa for EU and all documents needed for you school need to be ready for sign. What do we offer: Possibility to test your ideas in real live Experimental field for new and non-orthodox marketing idea Work experience in international company Training on SEO and marketing tools (such as collabim ) New entries in your CV and references Certificate Possibly to be part of our international team or our local representative in yours area after the Erasmus period Accommodation in historical town Karlovy Vary Opportunity to verify your knowledge in real life. Local tips What we do NOT offer: Visa service Paper work and communication necessary for visa Tasks will involve: Using common sense Communication in English Searching and using information’s from google Using advanced SEO tools Advanced use of the Google tools Analyse reading and evaluation Social media management Benchmarking conducting competitor analysis Conducting keyword analysis If you are interested: Send your CV [email protected] and add example of your work related to position you are applying. After receiving your CV, we are going to invite you to complete test task, and if we are a good match, we will invite you to a Google Meet call during which we will discuss the details of your internship, including when you could start. Compensation: Accommodation in Karlovy Vary No financial compensation Description: Are you ready to do an internship in middle of Europe in beautiful Historical town? Are you interested in new technologies, digital marketing, and languages? We are looking for people who would like to do an Erasmus+ internship at our company. We provide online internship, parttime or full time. For the full time we provide accommodation in Karlovy Vary. Gifts service company produce custom made products for industry and custom made promotional items. International internet marketing is main tool.  We are looking for colleges who will help us maintain or internet marketing tools, improve SEO, and help us implement some new online marketing tools. Now, we are looking for someone to help us build our brand recognition via digital marketing. Who are we looking for: Copywriters - Content creators under SEO rules: People interested in SEO content writing and/or digital marketing in general. - Experience is not needed but it will be an advantage. or Translators:  Person who is able to translate from English or to English or Social media specialist: Creating content and maintaining on social media channels or Focused area marketing specialist:  Person who will be able to make local internet marketing focused on specific country or area. or Video content specialist:  Person who will be able to make interesting video content. or Presta specialist or database specialist:  Person who knows presta shop or is able to work with database or Programmer:  Person who will be able to create original scripts for internet marketing in connection with databases or Ux specialist:  Person who will be able to make changes in the way our web page is easy to use on WordPress platform. or WordPress specialist:  Person who will be able to make changes  in WordPress platform. or Marketers: People interested in SEO content writing and/or digital marketing in general. - Experience is not obligatory but it will be an advantage among other candidates. or Photographer: person who is able to take photos upload it on WordPress platform with description under seo rules What do we expect: Independent self-organised person Copywriting talent Responsibility and reliability At least C1 level of English, every other language will be an advantage YOU MUST have valid visa for EU and all documents needed for you school need to be ready for sign. What do we offer: Possibility to test your ideas in real live Experimental field for new and non-orthodox marketing idea Work experience in international company Training on SEO and marketing tools (such as collabim ) New entries in your CV and references Certificate Possibly to be part of our international team or our local representative in yours area after the Erasmus period Accommodation in historical town Karlovy Vary Opportunity to verify your knowledge in real life. Local tips What we do NOT offer: Visa service Paper work and communication necessary for visa Tasks will involve: Using common sense Communication in English Searching and using information’s from google Using advanced SEO tools Advanced use of the Google tools Analyse reading and evaluation Social media management Benchmarking conducting competitor analysis Conducting keyword analysis If you are interested: Send your CV [email protected] and add example of your work related to position you are applying. After receiving your CV, we are going to invite you to complete test task, and if we are a good match, we will invite you to a Google Meet call during which we will discuss the details of your internship, including when you could start. Compensation: Accommodation in Karlovy Vary No financial compensation Compensation: Financial compensation Accommodation Years of Experience required: No Link: https://giftsservice.com/cs/",0.11088525,0.13042283,0.35753825,0.34185863,0.23517624
Junior apprentice in PUB,Localife Sp. z o. o.,"Kraków, Poland",3 months,"18 Aug, 2021","28 Feb, 2025","Languages and Philological Sciences, Social Sciences",https://erasmusintern.org/traineeship/junior-apprentice-pub,74,"20 PLN gross per hour (6 hours per day x 4 days a week). The intern shall also cooperatre in other projects (organization events): 10 hours per week (NO financial compensation). Main activities : learning pricing, products, organizing activities (pub crawl, cineforum, language tandem, board games and quiz pub) and creating a solid clientele/community for the place, creating a co-living area, calendar management, previous experience in the sector is highly appreciated (interns with previous experience get paid) promoting the PUB activities on social media channels like Facebook, inventory, monitoring purchases, creation of contacts (database) with corporations, tour operators, travel agencies. Skills and duties required) A good level of English is required for this position. Other known languages such as Italian, French, Spanish or Polish are for sure an added value for us. . We offer a fixed monthly financial support and/or commissions calculated/based on performance. There is a possibility to get a regular contract of employment after the internship. We offer a fixed financial support from the beginning only to interns with a previous experience. If the experience is related also a bartender or barman position health checks are mandatory.",0.23303129,0.19631617,0.25025097,0.26104823,0.23516166
Social Media and Digital Supervision,Gifts Service,"Karlovy Vary, Czech Republic",3 months,"10 Jul, 2024","30 May, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Languages and Philological Sciences",https://erasmusintern.org/traineeship/social-media-and-digital-supervision,36,"Those with an interest in SEO content writing and/or digital marketing. Experience is an advantage but not essential. *Translators: Those who can translate to and from English. *Social Media Experts: Those who can create and manage content on social media channels. *Regional Marketing Specialists: Those who can do local internet marketing focusing on a specific country or region. *Video Content Specialists: Those who can produce engaging video content. *PrestaShop/Database Experts: Those who have knowledge in PrestaShop or database management. *Programmers: Those who can create original internet marketing scripts linked to databases. *UX Experts: Those who can improve the usability of the website on the WordPress platform. *WordPress Experts: Those who can make changes to the WordPress platform. *Marketers: Interested in SEO content writing and/or digital marketing. Experience is a plus. *Photographers: Those who can take photos and upload them to the WordPress platform with SEO-friendly descriptions. We would like to remind you that you do not have to come here to do your internship! Since this is an online internship, you can do your internship full-time or part-time as a home-office. If you specify this in your application, the process can go more smoothly! This link may help you: https://giftsservice.com/en-gb/scheduling-with-us/ Send your CV to [email protected] and attach a work sample related to the position you are applying for and a motivation letter. Once we receive your CV, we will invite you to complete a test task. If we are a good match, we will invite you to a Google Meet to discuss the details of your internship, including when you can start. Our dates are flexible, feel free to contact!",0.11966605,0.15000531,0.32680902,0.33832484,0.2337013
"Internship in Engineering (""Only for students with Erasmus grants"")",Erciyes University,"Kayseri, Turkey",2 months,"27 Apr, 2023","1 May, 2025","Engineering and/or Technology, Natural Sciences",https://erasmusintern.org/traineeship/internship-engineering-only-students-erasmus-grants,59,"Erciyes University is looking for interns in various Engineering fields; Biomedical, Mechanical, Civil, Environmental, Electrical-Electronics, Industrial, Industrial Design, Energy Systems, Geomatic, Material Science, Mechatronics and, Textile .  If you have an academic background in any field and want to advance in that field, this collaborative work will be extremely beneficial to your professional development! Applications for 2-6 months are accepted. This is an unpaid internship. Responsibilities; Eligible for Erasmus+ Assisting the Team of the International Office, Management of social media, Document organization. Qualifications; Adaptability, Good time management and organizational skills, Critical thinking and problem-solving. What we can offer you; Opportunity to improve your international communication skills, Working in a dynamic, creative, and youthful environment, Additional experience in your field, Freedom for your creative spirit, A chance to become closer to Turkish culture, and the Turkish language, Help to find accommodation, Autonomy and flexible working hours, Low living costs, International airport opportunity, Close to historical and tourist places as well as the Mediterranean, Winter sports facilities. Collaboration skills, Excellent verbal and written communication skills in English, Curiosity and willingness to learn quickly, Determined and ambitious.",0.33285475,0.13375266,0.26645523,0.20088989,0.23348813
Architecture & Interior Design,Simone Caberti - Arquitectura & Design,"Porto, Portugal",4 months,"25 Feb, 2025","31 Mar, 2025","Architecture and/or Urban and Regional Planning, Art and Design, Communication and Information Sciences",https://erasmusintern.org/traineeship/architecture-interior-design-39,3,"We're seeking talented interns for our Porto office. We offer experience in all phases of architectural projects , from concept design through detailed construction documentation, as well as interior design and decoration . We also have an opening for a Communication and Social Media Management intern to enhance our online presence. Interested candidates should submit their Curriculum Vitae and Portfolio to s [email protected] . A guaranteed scholarship is required.",0.29178217,0.19077149,0.2551192,0.19446316,0.23303401
Content Writing Internship - Cosmic Production Event and Creative Agency,Cosmic Production,"Split, Croatia",6 months,"26 Oct, 2021","30 Apr, 2025","Art and Design, Communication and Information Sciences",https://erasmusintern.org/traineeship/content-writing-internship-cosmic-production-event-and-creative-agency,74,"1-6 monts Commitment: Part-Time Description: Cosmicproduction.hr Cosmic Production is a Split based Event and Creative Agency specializing in DJ events with partners ranging from a variety of finest venues like restaurants, beach bars and hotels in Split and Croatia. We offer DJ events, private parties, event organization, social media management, content creation and various creative and technical solutions in the AV, events and hospitality industry. Hello there! We are looking forward to checking out your applications. Ideally we are on the lookout for a storyteller and content creator with some experience either with client work or managing own projects (blogs, social media accounts, fan pages, book clubs etc.). Thanks for taking the time to check out our application. Let us know if you have any questions, we offer a flexible internship between 1-6 monts. Good luck, Ivan Role Description: The intern is responsible for assisting the Marketing Director in creating written content for marketing campaigns such as blog posts, landing pages, social media captions, paid advertisments, etc. Our ideal candidate is someone who has a creative way of approaching writing tasks and can execute ideas with simplicity to create content aroundour brands and get involved in the creative process of working with clients. We provide plenty experience in both. Requirements: Proficiency with web publishing software such Wordpress Familiarity with digital marketing terminology and techniques Punctuality Eye for detail Tasks You Will Do: Help manage written content for brands and clients Work on web copy, blog posts and research topics Content administration, organizing and backup What We Like: Curiosity Willingness to learn Team-work Attention to detail Creative thinking What We Think You’ll Like: Getting to know DJ’s and great people Visiting some of the best venues in the area Flexible schedule with remote days Family working environment (we’re a small family company) Guidance on how to improve your skills DJ Masterclass (available in spring/autumn) Other Information: Part-time position is 20-30 hours per week Internship is unpaid and must be relevant to your field of study and personal development Accomodation discount available on select properities",0.17745775,0.22362491,0.26563874,0.26509923,0.23295516
German Speaking Digital Marketing Associate Internship,22tribes,"Barcelona, Spain",6 months,"2 Feb, 2023","1 May, 2025",Business Studies and/or Management Science,https://erasmusintern.org/traineeship/german-speaking-digital-marketing-associate-internship,63,"We will involve you in many areas of digital marketing and give you the possibility to grow where you want to. You will mainly be learning and working on online marketing topics like PPC (such as Google Ads, LinkedIn Ads, or Facebook Ads),  SEO, Website, Landing Pages, HubSpot, Google Analytics, etc. 22tribes is a highly data-driven agency, you want to understand KPIs and what drives users’ decisions. You are happy to assist with various digital marketing and also internal operations tasks where needed. English is a must as it is our working language. Fluency in other languages, especially German, French or Spanish, is a plus. You collaborate well with all team members and will have a hand in many parts of our business. Occasionally, but not daily tasks can also include: competitor- and market research, content analysis- and creation for internal social media channels, lead generation, and direct outreach. You are ready to work in a hybrid working model (2-3 office days and partially remote from your home in Barcelona) About 22tribes: At 22 tribes we are entrepreneurs at heart. Call us hustlers if you like. We own our projects and drive them forward. You might quite like us if you: Thrive when working autonomously “Your project, your baby”. Are happy to work in remote-friendly teams. Know how to organize yourself and deliver on-time. Have a growth mindset. Love marketing and are actively working towards becoming the best in your field. Love challenges and can keep up in an ever-changing environment. Our team helps our clients with innovation strategy and can move ideas into quickly testable marketing campaigns. 10x faster. 10x better. 10x growth. You will receive a compensation of 500€/month. Furthermore, you might additionally have the possibility of receiving the Erasmus support/scholarships. For that, please consult with the international office of your university. We do not offer housing, however, we can offer advice and help searching for an accommodation. If you want to apply for this position, please fill out this survey so we can review your profile: www.22tribes.com/internsurvey “If you want to go fast, go alone. if you want to go far, go together” – African Proverb",0.21260177,0.11533575,0.319997,0.28371084,0.23291135
M&A Internship,Enery Development GmbH,"Vienna, Austria",3 months,"28 Feb, 2025","31 Mar, 2025","Business Studies and/or Management Science, Mathematics and/or Informatics",https://erasmusintern.org/traineeship/ma-internship,1,"Enery is an independent renewable energy provider dedicated to supplying its customers with reliable, affordable, long-term green energy. With a diversified green fleet currently generating almost 450 GWh of clean electricity from 312 MW and powering more than 185 000 households, Enery is at the forefront of driving the CEE region’s transition to sustainable energy. The company’s ambitious plans include ongoing development projects with more than 8 GW in 11 countries. With its diverse and multidisciplinary team of more than 25 nationalities, Enery is focusing on developing, constructing, and operating renewable energy projects by integrating environmental, social, and governance (ESG) factors into every aspect of day-to-day business. Given a strong and extensive M&A pipeline to be executed in the next years, we are looking for an intern starting immediately. Your role will be to provide support to the M&A team with executing acquisitions as well as debt and capital raises. Furthermore, you will gain experience in preparing financial models and in supporting due diligence processes. This will provide for valuable on-thejob training and experience. Key Responsibilities: • Support in preparing presentations, teasers and other materials for project acquisitions • Support in financial modelling, analysis of financial statements and preparing output financial tables • Performing market research and acquisition targets‘ analysis • Managing Q&A process and providing other support in due diligence processes Requirements: • Master student/graduate in Economics or Finance at/from a top-tier university with a track record of excellent academic performance • Previous experience in investment banking, project finance or consultancy is required • Experience in renewable power industry is advantageous, but not required • Strong analytical and problem-solving skills, ability to work under pressure • Proficiency in using Excel, Word and Power-Point (financial modelling skills would be a plus) • Fluency in English is essential (another European language would be advantageous) • Flexible, open-minded and enthusiastic team player with an international mindset What we offer: • Opportunity to learn from an experienced M&A team with deep expertise in power generation investments and gain exposure to live LBO projects • Depending on the performance, possibility for a full-time offer • Be part of a young, dynamic growth company • German language classes",0.28069806,0.19050653,0.24575649,0.20853147,0.23137313
Business Analysis and Lead Generation - Remote,ITC - Intelligent Traffic Control,Israel,4 months,"6 Feb, 2025","28 Feb, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Engineering and/or Technology",https://erasmusintern.org/traineeship/business-analysis-and-lead-generation-remote,13,Research market trends and identify potential business opportunities. Develop lead-generation strategies to target high-value clients. Collaborate with the team to refine our approach to market penetration. Monitor and optimising processes for each project. Understanding the company’s current and future product roadmaps.,0.27716172,0.20839673,0.21997704,0.21980582,0.23133533
Internship Tissue culture analyst doubled haploid production 2025,ScientiQ Staffing BV,"Bergen op Zoom, Netherlands",6 months,"18 Sep, 2023","1 May, 2025","Agriculture Sciences, Natural Sciences",https://erasmusintern.org/traineeship/internship-tissue-culture-analyst-doubled-haploid-production-2025,52,https://scientiq.catsone.nl/careers/3104-Laboratorium/jobs/954701-Intern...,0.21822938,0.21177627,0.2529989,0.24166721,0.23116794
Digital Marketing Videographer,H.W.T. d.o.o.,"Split, Croatia",3 months,"3 Sep, 2024","1 Mar, 2025",Art and Design,https://erasmusintern.org/traineeship/digital-marketing-videographer-0,33,"Assisting marketing team Shooting reels and Tik Tok videos Editing videos Creating marketing campaigns, following and learning about current social media trends, Content creation, Photography and Videography, Building strong relationships with clients, Other administrative tasks. If you like challenges, but also have a growth mindset, and like to learn, H.W.T. is going to welcome you with open arms. We cherish a good, positive, friendly company culture. Working in a dynamic, international environment will improve your English, teamworking skills, communication skills, leadership skills, time management skills and enhance overall knowledge of what digital marketing is all about. Make friends for life and meet other young Erasmus+ students. Split is a beautiful, vibrant, Mediterranean city with a strong ESN network. People here are warm and welcoming, food is amazing, climate mild, weather – extremely sunny so you can enjoy the beach from May to October. It is a city with authentic love of the sea and Dalmatian lifestyle of „Pomalo“ – meaning: take it easy, slow down. If you feel that this position is something that would suit your interests and you believe you could bring your creativity and skills to the next level with us, join us for the ride of your life!",0.1838,0.2043572,0.2723751,0.26387262,0.23110123
Content Creator and Digital Marketing Internship,Ocean Community,"Lisbon, Portugal",5 months,"23 Oct, 2024","28 Feb, 2025","Art and Design, Communication and Information Sciences, Social Sciences",https://erasmusintern.org/traineeship/content-creator-and-digital-marketing-internship,28,"Intern as a Content Creator & Digital Marketer! Are you passionate about the ocean and skilled in content creation and digital marketing? Do you want to use your creative talents to inspire change and promote ocean conservation? Ocean Community is calling for an innovative and driven intern to join our dynamic team. Who We Are: Ocean Community is a global non-profit organization dedicated to connecting ocean lovers, fostering innovative solutions, and building a thriving coastal and blue economy. We believe in the power of storytelling and digital outreach to inspire action for ocean sustainability. Why Intern with Us? As a Content Creator & Digital Marketing Intern, you’ll have the opportunity to develop and execute marketing strategies while crafting powerful narratives that amplify our mission and vision. Express Your Creativity: Develop impactful content across social media platforms, newsletters, and other digital channels to engage our audience and promote ocean-friendly solutions. Drive Digital Growth: Implement digital marketing strategies, SEO best practices, and online engagement tactics to grow our reach and impact. Build a Community Voice: Shape how we communicate our projects, events, and achievements to a global audience of ocean enthusiasts, innovators, and partners. Learn and Grow: Gain hands-on experience in digital marketing, content creation, and analytics in a collaborative, mission-driven environment while expanding your knowledge of the blue economy and ocean conservation. What You’ll Do: Create, schedule, and manage engaging content across various social media platforms (Instagram, LinkedIn, WeDontHaveTime) to build our online presence. Develop and implement digital marketing campaigns, leveraging SEO, email marketing, and analytics tools to optimize audience engagement. Write compelling articles, newsletters, and blog posts highlighting ocean innovation, community projects, and the blue economy. Collaborate with the team to design content strategies and marketing initiatives that drive engagement and inspire action for ocean conservation. Monitor and analyze digital performance metrics to refine and enhance outreach efforts. Join Us: If you're a creative storyteller with a passion for digital marketing and a deep love for the ocean, we’d love to welcome you to our team! Help us create inspiring content and impactful digital campaigns that make a real difference. The internship is unpaid but may qualify for Erasmus Internship funding. The preferred timeframe is from February 1 to July 1, though we can offer flexibility to suit your availability. To apply, please contact us at [email protected] .",0.22989807,0.17722592,0.24316317,0.2736922,0.23099484
ARCHITECT,ARCHITECTURAL SPIES  EOOD,"Varna, Bulgaria",3 months,"9 Feb, 2025","30 Apr, 2025",Architecture and/or Urban and Regional Planning,https://erasmusintern.org/traineeship/architect-33,12,"AutoCAD, and desirable: REVIT, etc. ) for architectutal design work  in our studio. Priority will be given to candidates, coming  from one location, to support each other in our cultural environment, and arrange easier the accommodation. Our city is a touristic destination and the months in the high touristic season ( July and August ) are not reccomendable in regard to arrange accommodation. Although the intrenship is announced for a 3 months' period, we'd prefer the interns to stay longer. The period is flexible (we accept intrens in all seasons).",0.29796085,0.15242176,0.27371487,0.19952579,0.23090582
Open Call for Internship in Project Management with Flexible Start and End Date,Tanz der Kulturen e.V.,"Hamburg, Germany",2 months,"21 Jan, 2025","10 May, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Social Sciences",https://erasmusintern.org/traineeship/open-call-internship-project-management-flexible-start-and-end-date,18,"Possible tasks Administration Production assistance Management of our social media channels Project management for our Erasmus+ mobilities in adult education Sponsoring Advancing the digitalisation process of the association Production of contemporary performance projects with internationally renowned artists Your benefits Work in a motivated, visionary and constantly evolving team that embodies art, psychology and spirituality. A chance for further training in ritual Dance Pedagogy with live music Participation in further training programmes in other European countries (especially in the field of digitalisation) Flexible working hours Possibility to work remote A wide range of possible assignments, whether office, technical support or on-site artist support, you will be competently supported and can slowly familiarise yourself with the work. We expressly welcome applications from BIPoC, people of different gender identities, queer people and people with disabilities. If equally qualified, they will be given preference. We look forward to receiving your application with a cover letter and CV at [email protected] .",0.1794674,0.1686615,0.2765934,0.2988505,0.2308932
Architectural Intern,un-icon,"PORTO, Portugal",12 months,"10 Jan, 2025","1 Mar, 2025",Architecture and/or Urban and Regional Planning,https://erasmusintern.org/traineeship/architectural-intern-20,20,"We are looking for an architect eligible for Erasmus+ internship program, to join our team of architects in our office in the center of Porto. The ideal duration is between 6 to 12 months starting from Summer/Autumn 2025(no application of less than 6 months will be considered). We are a young office founded by two partners with an extensive working experience in some of the most renowned office in the world (Herzog & de Meuron, Mecanoo...) and we offer the opportunity to collaborate and join our design team in the development of different projects, in a range that spans from architectural competitions to construction drawings. Plaese send CV and Portfolio at [email protected]",0.25097984,0.20660304,0.24549407,0.21685205,0.22998226
